the_geom,objectid,station_id,lat,lon,borough,name,cartodb_id,created_at,updated_at
0101000020E6100000DC08ABBF8C8052C004DF396C3B5E4440,30,238,40.7361967,-74.00859207,Manhattan,238,30,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000007B8839204F8052C0C43DFCCE1F5E4440,31,247,40.73535398,-74.00483091,Manhattan,247,31,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000008E0DAD6C7E8052C06B67336F655C4440,32,248,40.72185379,-74.00771779,Manhattan,248,32,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000007EA36E72938052C03333186AFE5B4440,33,249,40.71870987,-74.0090009,Manhattan,249,33,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000F42200C1B87F52C0FA1BFF23BE5C4440,34,250,40.72456089,-73.99565293,Manhattan,250,34,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000DFCC0FC8AA7F52C0E0C2BBE0905C4440,35,251,40.72317958,-73.99480012,Manhattan,251,35,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000B668F5C2E77F52C0995E308EBA5D4440,36,252,40.73226398,-73.99852205,Manhattan,252,36,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000EDF5DA82A67F52C0F6C7089B225E4440,37,253,40.73543934,-73.99453948,Manhattan,253,37,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D580E546DF7F52C0A2F4C1D51E5E4440,38,254,40.73532427,-73.99800419,Manhattan,254,38,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000B313D57A288052C0262D66C6145C4440,39,257,40.71939226,-74.00247214,Manhattan,257,39,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000A6ADC530CA8052C094393459C1594440,40,259,40.70122128,-74.01234218,Manhattan,259,40,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000004FB5DF4EBF8052C01BED0AFE105A4440,41,260,40.70365182,-74.01167797,Manhattan,260,41,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000080F9695C47F52C0ADBF5CE3CF5B4440,42,263,40.71729,-73.996375,Manhattan,263,42,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000DCF710E2778052C069F52BD2805A4440,43,264,40.70706456,-74.00731853,Manhattan,264,43,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000000A04F84E747F52C044086BD7735C4440,44,265,40.72229346,-73.99147535,Manhattan,265,44,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000C3C13EA2727E52C0E589D464A15C4440,45,266,40.72368361,-73.97574813,Manhattan,266,45,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000FE0C3CB4357F52C05FF943BF1F604440,46,267,40.75097711,-73.98765428,Manhattan,267,46,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D9029B9BFB7F52C0F539C95F0B5C4440,47,268,40.71910537,-73.99973337,Manhattan,268,47,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000DBAC0A47AB8052C0BEA6495CD65B4440,48,276,40.71748752,-74.0104554,Manhattan,276,48,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000E5F161B7AF7F52C0D2FEF425DD5D4440,49,280,40.73331967,-73.99510132,Manhattan,280,49,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000003E383551517E52C05BB1457ED7614440,50,281,40.7643971,-73.97371465,Manhattan,281,50,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000083C4DB302B8052C0DB37E0D5975E4440,51,284,40.7390169121,-74.0026376103,Manhattan,284,51,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000003161A348687F52C021276352055E4440,52,285,40.73454567,-73.99074142,Manhattan,285,52,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000085CA6B02BF7D52C056CF180C4E614440,53,290,40.76020258,-73.96478473,Manhattan,290,53,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000996314A9077F52C035273371475B4440,54,291,40.713126,-73.984844,Manhattan,291,54,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000960349AA687F52C0984E3AC3795D4440,55,293,40.73028666,-73.9907647,Manhattan,293,55,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000A9E22EE0B97F52C0AE6CEF8D805D4440,56,294,40.73049393,-73.9957214,Manhattan,294,56,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000ED4E6C4A8C7F52C070EB1C44665B4440,57,295,40.71406667,-73.99293911,Manhattan,295,57,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000002DE85097CF7F52C0F3FBD45E685B4440,58,296,40.71413089,-73.9970468,Manhattan,296,58,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000009D5A08B9297F52C054B6200BFB5D4440,59,297,40.734232,-73.986923,Manhattan,297,59,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000B9FA7BA45F7F52C00AECAD95335D4440,60,300,40.728145,-73.990214,Manhattan,300,60,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D8FF95B7F47E52C0A21101F16F5C4440,61,301,40.72217444,-73.98368779,Manhattan,301,61,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000004FF2E268967E52C0910B19D5435C4440,62,302,40.72082834,-73.97793172,Manhattan,302,62,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000027AD0AB8F77F52C09519278D9F5C4440,63,303,40.72362738,-73.99949601,Manhattan,303,63,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000008CBE0114DF8052C0AA8CA127315A4440,64,304,40.70463334,-74.01361706,Manhattan,304,64,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000E9A52750E77D52C041C252C966614440,65,305,40.76095756,-73.96724467,Manhattan,305,65,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000008EED60D2568052C02B95B32CA75A4440,66,306,40.70823502,-74.00530063,Manhattan,306,66,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000D4B385805A7F52C091769F166D5B4440,67,307,40.71427487,-73.98990025,Manhattan,307,67,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000B5838498E77F52C0139E49E8455B4440,68,308,40.71307916,-73.99851193,Manhattan,308,68,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000009FE5322AD58052C01A06C826845B4440,69,309,40.7149787,-74.013012,Manhattan,309,69,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000023B2B5B53B7F52C05AFE3AD6CD5B4440,70,311,40.7172274,-73.98802084,Manhattan,311,70,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000057862A924D7F52C0EB9912076C5C4440,71,312,40.722055,-73.989111,Manhattan,312,71,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000001DF48C96D8052C0F77189C70D5A4440,72,315,40.70355377,-74.00670227,Manhattan,315,72,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
